municipality,year,inc
Silkeborg,1989,86900.0
Skanderborg,1989,86834.0
Syddjurs,1989,84287.0
Aarhus,1989,86397.0
Herning,1989,86231.0
Holstebro,1989,83709.0
Ikast-Brande,1989,83672.0
Lemvig,1989,82969.0
Ringkøbing-Skjern,1989,83826.0
Skive,1989,81562.0
Struer,1989,82271.0
Viborg,1989,83399.0
Brønderslev,1989,78800.0
Frederikshavn,1989,82545.0
Hjørring,1989,80575.0
Jammerbugt,1989,79869.0
Læsø,1989,74638.0
Mariagerfjord,1989,80676.0
Morsø,1989,78597.0
Rebild,1989,82661.0
Thisted,1989,78940.0
Vesthimmerlands,1989,78284.0
Aalborg,1989,83675.0
Copenhagen,1990,85421.0
Frederiksberg,1990,98916.0
Dragør,1990,109441.0
Tårnby,1990,98313.0
Albertslund,1990,93620.0
Ballerup,1990,96440.0
Brøndby,1990,94147.0
Gentofte,1990,119382.0
Gladsaxe,1990,94374.0
Glostrup,1990,95536.0
Herlev,1990,96332.0
Hvidovre,1990,93217.0
Høje-Taastrup,1990,97241.0
Ishøj,1990,93570.0
Lyngby-Taarbæk,1990,109204.0
Rødovre,1990,93807.0
Vallensbæk,1990,107743.0
Allerød,1990,110893.0
Egedal,1990,104524.0
Fredensborg,1990,104438.0
Frederikssund,1990,96435.0
Furesø,1990,110721.0
Gribskov,1990,98060.0
Halsnæs,1990,91961.0
Helsingør,1990,95390.0
Hillerød,1990,101264.0
Hørsholm,1990,127455.0
Rudersdal,1990,122673.0
Bornholm,1990,82392.0
Greve,1990,104726.0
Køge,1990,94786.0
Lejre,1990,101012.0
Roskilde,1990,98918.0
Solrød,1990,106434.0
Faxe,1990,90199.0
Guldborgsund,1990,85260.0
Holbæk,1990,89909.0
Kalundborg,1990,89457.0
Lolland,1990,82521.0
Næstved,1990,89477.0
Odsherred,1990,86891.0
Ringsted,1990,91727.0
Slagelse,1990,89261.0
Sorø,1990,88016.0
Stevns,1990,92954.0
Vordingborg,1990,85573.0
Assens,1990,84584.0
Faaborg-Midtfyn,1990,85267.0
Kerteminde,1990,89124.0
Langeland,1990,80736.0
Middelfart,1990,87763.0
Nordfyns,1990,84751.0
Nyborg,1990,86370.0
Odense,1990,85950.0
Svendborg,1990,85636.0
Ærø,1990,82200.0
Billund,1990,90121.0
Esbjerg,1990,89236.0
Fanø,1990,94424.0
Fredericia,1990,90326.0
Haderslev,1990,86292.0
Kolding,1990,88470.0
Sønderborg,1990,88084.0
Tønder,1990,86020.0
Varde,1990,87871.0
Vejen,1990,84674.0
Vejle,1990,88629.0
Aabenraa,1990,87067.0
Favrskov,1990,89015.0
Hedensted,1990,87966.0
Horsens,1990,86395.0
Norddjurs,1990,86555.0
Odder,1990,89540.0
Randers,1990,84811.0
Samsø,1990,79231.0
Silkeborg,1990,89949.0
Skanderborg,1990,90661.0
Syddjurs,1990,87664.0
Aarhus,1990,89149.0
Herning,1990,89424.0
Holstebro,1990,87180.0
Ikast-Brande,1990,86520.0
Lemvig,1990,85702.0
Ringkøbing-Skjern,1990,87748.0
Skive,1990,85329.0
Struer,1990,86086.0
Viborg,1990,86830.0
Brønderslev,1990,82392.0
Frederikshavn,1990,85996.0
Hjørring,1990,84462.0
Jammerbugt,1990,83431.0
Læsø,1990,79709.0
Mariagerfjord,1990,83335.0
Morsø,1990,82314.0
Rebild,1990,86209.0
Thisted,1990,82983.0
Vesthimmerlands,1990,80984.0
Aalborg,1990,86775.0
Copenhagen,1991,87445.0
Frederiksberg,1991,101730.0
Dragør,1991,115203.0
Tårnby,1991,101982.0
Albertslund,1991,96601.0
Ballerup,1991,99607.0
Brøndby,1991,97360.0
Gentofte,1991,126128.0
Gladsaxe,1991,98385.0
Glostrup,1991,99381.0
Herlev,1991,99781.0
Hvidovre,1991,96407.0
Høje-Taastrup,1991,100429.0
Ishøj,1991,96662.0
Lyngby-Taarbæk,1991,112578.0
Rødovre,1991,96964.0
Vallensbæk,1991,112428.0
Allerød,1991,116246.0
Egedal,1991,110415.0
Fredensborg,1991,108883.0
Frederikssund,1991,101186.0
Furesø,1991,116422.0
Gribskov,1991,102240.0
Halsnæs,1991,95709.0
Helsingør,1991,99359.0
Hillerød,1991,106357.0
Hørsholm,1991,132161.0
Rudersdal,1991,127194.0
Bornholm,1991,87867.0
Greve,1991,108530.0
Køge,1991,99316.0
Lejre,1991,105531.0
Roskilde,1991,103073.0
Solrød,1991,111504.0
Faxe,1991,93835.0
Guldborgsund,1991,89177.0
Holbæk,1991,93761.0
Kalundborg,1991,93728.0
Lolland,1991,86441.0
Næstved,1991,93855.0
Odsherred,1991,91513.0
Ringsted,1991,95770.0
Slagelse,1991,92624.0
Sorø,1991,92404.0
Stevns,1991,97979.0
Vordingborg,1991,89935.0
Assens,1991,89612.0
Faaborg-Midtfyn,1991,90107.0
Kerteminde,1991,93750.0
Langeland,1991,84427.0
Middelfart,1991,91781.0
Nordfyns,1991,90214.0
Nyborg,1991,90995.0
Odense,1991,89836.0
Svendborg,1991,90022.0
Ærø,1991,87618.0
Billund,1991,95069.0
Esbjerg,1991,94814.0
Fanø,1991,100540.0
Fredericia,1991,93648.0
Haderslev,1991,90458.0
Kolding,1991,92727.0
Sønderborg,1991,91864.0
Tønder,1991,90952.0
Varde,1991,93162.0
Vejen,1991,90134.0
Vejle,1991,92685.0
Aabenraa,1991,91991.0
Favrskov,1991,94503.0
Hedensted,1991,93519.0
Horsens,1991,91479.0
Norddjurs,1991,89631.0
Odder,1991,94800.0
Randers,1991,89053.0
Samsø,1991,83873.0
Silkeborg,1991,95365.0
Skanderborg,1991,95395.0
Syddjurs,1991,92090.0
Aarhus,1991,93087.0
Herning,1991,94101.0
Holstebro,1991,91841.0
Ikast-Brande,1991,92943.0
Lemvig,1991,90826.0
Ringkøbing-Skjern,1991,92674.0
Skive,1991,89602.0
Struer,1991,90508.0
Viborg,1991,91531.0
Brønderslev,1991,87123.0
Frederikshavn,1991,90886.0
Hjørring,1991,89815.0
Jammerbugt,1991,88065.0
Læsø,1991,86145.0
Mariagerfjord,1991,88426.0
Morsø,1991,87029.0
Rebild,1991,90967.0
Thisted,1991,88203.0
Vesthimmerlands,1991,85753.0
Aalborg,1991,91307.0
Copenhagen,1992,89913.0
Frederiksberg,1992,104476.0
Dragør,1992,117473.0
Tårnby,1992,104841.0
Albertslund,1992,99553.0
Ballerup,1992,102596.0
Brøndby,1992,99990.0
Gentofte,1992,130053.0
Gladsaxe,1992,101632.0
Glostrup,1992,102730.0
Herlev,1992,101630.0
Hvidovre,1992,99161.0
Høje-Taastrup,1992,103720.0
Ishøj,1992,99234.0
Lyngby-Taarbæk,1992,116895.0
Rødovre,1992,100161.0
Vallensbæk,1992,116254.0
Allerød,1992,119486.0
Egedal,1992,112779.0
Fredensborg,1992,111606.0
Frederikssund,1992,104013.0
Furesø,1992,121468.0
Gribskov,1992,104552.0
Halsnæs,1992,98097.0
Helsingør,1992,102182.0
Hillerød,1992,108263.0
Hørsholm,1992,133207.0
Rudersdal,1992,132939.0
Bornholm,1992,89864.0
Greve,1992,110734.0
Køge,1992,101773.0
Lejre,1992,109909.0
Roskilde,1992,106188.0
Solrød,1992,112592.0
Faxe,1992,96599.0
Guldborgsund,1992,91482.0
Holbæk,1992,97340.0
Kalundborg,1992,97130.0
Lolland,1992,88281.0
Næstved,1992,95865.0
Odsherred,1992,94688.0
Ringsted,1992,97789.0
Slagelse,1992,95298.0
Sorø,1992,94806.0
Stevns,1992,100512.0
Vordingborg,1992,92171.0
Assens,1992,92028.0
Faaborg-Midtfyn,1992,93564.0
Kerteminde,1992,97425.0
Langeland,1992,87667.0
Middelfart,1992,95159.0
Nordfyns,1992,93013.0
Nyborg,1992,93817.0
Odense,1992,92383.0
Svendborg,1992,93241.0
Ærø,1992,91730.0
Billund,1992,99278.0
Esbjerg,1992,96818.0
Fanø,1992,104012.0
Fredericia,1992,97217.0
Haderslev,1992,94661.0
Kolding,1992,96318.0
Sønderborg,1992,96524.0
Tønder,1992,94112.0
Varde,1992,96455.0
Vejen,1992,93524.0
Vejle,1992,97055.0
Aabenraa,1992,95734.0
Favrskov,1992,97655.0
Hedensted,1992,97176.0
Horsens,1992,94701.0
Norddjurs,1992,92724.0
Odder,1992,98794.0
Randers,1992,91981.0
Samsø,1992,86879.0
Silkeborg,1992,97893.0
Skanderborg,1992,99825.0
Syddjurs,1992,95568.0
Aarhus,1992,96069.0
Herning,1992,97033.0
Holstebro,1992,95008.0
Ikast-Brande,1992,95658.0
Lemvig,1992,93183.0
Ringkøbing-Skjern,1992,94810.0
Skive,1992,92492.0
Struer,1992,93976.0
Viborg,1992,94395.0
Brønderslev,1992,90006.0
Frederikshavn,1992,94188.0
Hjørring,1992,93175.0
Jammerbugt,1992,91150.0
Læsø,1992,88509.0
Mariagerfjord,1992,91246.0
Morsø,1992,90597.0
Rebild,1992,94188.0
Thisted,1992,91453.0
Vesthimmerlands,1992,89643.0
Aalborg,1992,93776.0
Copenhagen,1993,92242.0
Frederiksberg,1993,108892.0
Dragør,1993,122416.0
Tårnby,1993,107567.0
Albertslund,1993,102212.0
Ballerup,1993,105856.0
Brøndby,1993,101606.0
Gentofte,1993,135270.0
Gladsaxe,1993,104543.0
Glostrup,1993,104674.0
Herlev,1993,104458.0
Hvidovre,1993,101883.0
Høje-Taastrup,1993,106009.0
Ishøj,1993,100698.0
Lyngby-Taarbæk,1993,122664.0
Rødovre,1993,102676.0
Vallensbæk,1993,120595.0
Allerød,1993,123618.0
Egedal,1993,116548.0
Fredensborg,1993,114942.0
Frederikssund,1993,107035.0
Furesø,1993,120237.0
Gribskov,1993,107443.0
Halsnæs,1993,100334.0
Helsingør,1993,105203.0
Hillerød,1993,111531.0
Hørsholm,1993,151919.0
Rudersdal,1993,136778.0
Bornholm,1993,93151.0
Greve,1993,114647.0
Køge,1993,104825.0
Lejre,1993,113982.0
Roskilde,1993,109965.0
Solrød,1993,121631.0
Faxe,1993,99727.0
Guldborgsund,1993,94705.0
Holbæk,1993,100032.0
Kalundborg,1993,100054.0
Lolland,1993,90725.0
Næstved,1993,98887.0
Odsherred,1993,98069.0
Ringsted,1993,100210.0
Slagelse,1993,99022.0
Sorø,1993,97579.0
Stevns,1993,104588.0
Vordingborg,1993,95643.0
Assens,1993,94739.0
Faaborg-Midtfyn,1993,96460.0
Kerteminde,1993,99665.0
Langeland,1993,90236.0
Middelfart,1993,98352.0
Nordfyns,1993,95839.0
Nyborg,1993,95977.0
Odense,1993,95503.0
Svendborg,1993,96131.0
Ærø,1993,93505.0
Billund,1993,105279.0
Esbjerg,1993,100355.0
Fanø,1993,107256.0
Fredericia,1993,100147.0
Haderslev,1993,98231.0
Kolding,1993,99842.0
Sønderborg,1993,99621.0
Tønder,1993,97210.0
Varde,1993,99777.0
Vejen,1993,96738.0
Vejle,1993,99288.0
Aabenraa,1993,99072.0
Favrskov,1993,100604.0
Hedensted,1993,100169.0
Horsens,1993,97509.0
Norddjurs,1993,95221.0
Odder,1993,100681.0
Randers,1993,95214.0
Samsø,1993,89006.0
Silkeborg,1993,103283.0
Skanderborg,1993,102820.0
Syddjurs,1993,99025.0
Aarhus,1993,98974.0
Herning,1993,99862.0
Holstebro,1993,98602.0
Ikast-Brande,1993,98989.0
Lemvig,1993,95364.0
Ringkøbing-Skjern,1993,98796.0
Skive,1993,96325.0
Struer,1993,97326.0
Viborg,1993,97300.0
Brønderslev,1993,92793.0
Frederikshavn,1993,97353.0
Hjørring,1993,96029.0
Jammerbugt,1993,94522.0
Læsø,1993,88936.0
Mariagerfjord,1993,94092.0
Morsø,1993,93881.0
Rebild,1993,97887.0
Thisted,1993,94366.0
Vesthimmerlands,1993,92609.0
Aalborg,1993,96710.0
Copenhagen,1994,97883.0
Frederiksberg,1994,115211.0
Dragør,1994,130163.0
Tårnby,1994,115017.0
Albertslund,1994,108465.0
Ballerup,1994,112852.0
Brøndby,1994,107478.0
Gentofte,1994,147438.0
Gladsaxe,1994,111494.0
Glostrup,1994,111225.0
Herlev,1994,110658.0
Hvidovre,1994,108493.0
Høje-Taastrup,1994,113599.0
Ishøj,1994,107942.0
Lyngby-Taarbæk,1994,130037.0
Rødovre,1994,109599.0
Vallensbæk,1994,129534.0
Allerød,1994,132346.0
